Handle,Social Network,Profile Name,Avatar URL,Followers,Posts,Value Per Fan,Total Value € Jan 2026,Category,URL
cristiano,instagram,Cristiano Ronaldo,https://cdn.horizm.com/clubs/392_6491b0644ce13,672011111,12,0.0069,4615181,Athlete,https://www.instagram.com/cristiano/
leomessi,instagram,Lionel Messi,https://cdn.horizm.com/clubs/7f062479aa926188f8ccbe3b440c126df08f2606.jpg,511710206,4,0.0019,984345,Athlete,https://www.instagram.com/leomessi/
virat.kohli,instagram,Virat Kohli,https://cdn.horizm.com/clubs/397_6491b087b75aa,274920685,3,0.0056,1539390,Athlete,https://www.instagram.com/virat.kohli/
neymarjr,instagram,Neymar,https://cdn.horizm.com/clubs/393_6491b070e5383,234129312,25,0.0263,6162259,Athlete,https://www.instagram.com/neymarjr/
kingjames,instagram,LeBron James,https://cdn.horizm.com/clubs/396_6491b07c8732b,157316681,20,0.0111,1738355,Athlete,https://www.instagram.com/kingjames/
k.mbappe,instagram,Kylian Mbappe,https://cdn.horizm.com/clubs/1581_6491d3ce237b1,130385229,3,0.0070,915806,Athlete,https://www.instagram.com/k.mbappe/
davidbeckham,instagram,David Beckham,https://cdn.horizm.com/clubs/050236fc0aff5a4845035d50cf640053e582c104.jpg,88574328,9,0.0060,530917,Athlete,https://www.instagram.com/davidbeckham/
ronaldinho,instagram,Ronaldinho,https://cdn.horizm.com/clubs/399_6491b093ee83f,78493753,16,0.0046,363513,Athlete,https://www.instagram.com/ronaldinho/
karimbenzema,instagram,Karim Benzema,https://cdn.horizm.com/clubs/1540_6491d2d54c575,75230565,1,0.0004,32586,Athlete,https://www.instagram.com/karimbenzema/
marcelotwelve,instagram,Marcelo,https://cdn.horizm.com/clubs/404_6491b0d24aa35,68560423,20,0.0133,914998,Athlete,https://www.instagram.com/marcelotwelve/
sergioramos,instagram,Sergio Ramos,https://cdn.horizm.com/clubs/3089_6491fac552dcf,67631581,10,0.0076,510870,Athlete,https://www.instagram.com/sergioramos/
mosalah,instagram,Mohamed Salah,https://cdn.horizm.com/clubs/6aab26d48e6ef5c76ab8dc63404928887c1433c7.jpg,66172796,8,0.0074,491431,Athlete,https://www.instagram.com/mosalah/
vinijr,instagram,Vinicius Junior,https://cdn.horizm.com/clubs/1580_64b627062244c,58945363,3,0.0091,536401,Athlete,https://www.instagram.com/vinijr/
stephencurry30,instagram,Steph Curry,https://cdn.horizm.com/clubs/406_6491b0eec9a56,58322293,8,0.0104,604528,Athlete,https://www.instagram.com/stephencurry30/
paulodybala,instagram,Paulo Dybala,https://cdn.horizm.com/clubs/2808_6491f30d5e091,56962885,2,0.0010,58118,Athlete,https://www.instagram.com/paulodybala/
garethbale11,instagram,Gareth Bale,https://cdn.horizm.com/clubs/401_6491b0abd950a,52900729,2,0.0002,12580,Athlete,https://www.instagram.com/garethbale11/
jamesrodriguez10,instagram,James Rodriguez,https://cdn.horizm.com/clubs/400_6491b09f8cf8b,51804979,6,0.0043,225288,Athlete,https://www.instagram.com/jamesrodriguez10/
sachintendulkar,instagram,Sachin Tendulkar,https://cdn.horizm.com/clubs/407_6491b0fc9d9e5,51486862,3,0.0005,26950,Athlete,https://www.instagram.com/sachintendulkar/
toni.kr8s,instagram,Toni Kroos,https://cdn.horizm.com/clubs/2388_6491e7de4f946,49600349,6,0.0056,277528,Athlete,https://www.instagram.com/toni.kr8s/
luissuarez9,instagram,Luis Suárez,https://cdn.horizm.com/clubs/2794_6491f29faeb51,47951970,2,0.0012,59868,Athlete,https://www.instagram.com/luissuarez9/
thenotoriousmma,instagram,Conor McGregor,https://cdn.horizm.com/clubs/403_6491b0c615f57,46377976,28,0.0379,1757788,Athlete,https://www.instagram.com/thenotoriousmma/
rohitsharma45,instagram,Rohit Sharma,https://cdn.horizm.com/clubs/1567_6491d37199fc5,45847078,5,0.0092,423104,Athlete,https://www.instagram.com/rohitsharma45/
